Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Jitada Masala(two Pieces)","Jitada Masala(two Pieces)",,"jitada masala(two pi",,,,,"Konkan Swad Special Fish","Konkan Swad Special Fish",350,non-veg,,5,F,,,0,,,1,0,Yes
"Jitada Tawa Fry(Two Pieces)","Jitada Tawa Fry(Two Pieces)",,JTFTP,,,,,"Konkan Swad Special Fish","Konkan Swad Special Fish",400,non-veg,,5,F,,,0,,,1,0,Yes
"Jitada Jumbo Tawa Fry","Jitada Jumbo Tawa Fry",,JJTF,,,,,"Konkan Swad Special Fish","Konkan Swad Special Fish",0,non-veg,,5,F,,,0,,,1,0,Yes
"Chicken Masala (sagoti)","Chicken Masala (sagoti)",,CMSA,,,,,"Non-Veg Main Course","Non-Veg Main Course",260,non-veg,,5,F,,,0,,,1,0,Yes
"Chicken Masala Fry","Chicken Masala Fry",,CMF,,,,,"Non-Veg Main Course","Non-Veg Main Course",300,non-veg,,5,F,,,0,,,1,0,Yes
"Chicken Masala Boneless","Chicken Masala Boneless",,CMB,,,,,"Non-Veg Main Course","Non-Veg Main Course",300,non-veg,,5,F,,,0,,,1,0,Yes
"Chicken Masala Fry Boneless","Chicken Masala Fry Boneless",,CMFB,,,,,"Non-Veg Main Course","Non-Veg Main Course",320,non-veg,,5,F,,,0,,,1,0,Yes
"Desi Chicken Masala (sagoti)","Desi Chicken Masala (sagoti)",,DCMS,,,,,"Non-Veg Main Course","Non-Veg Main Course",320,non-veg,,5,F,,,0,,,1,0,Yes
"Desi Chicken Masala Fry","Desi Chicken Masala Fry",,DCMF,,,,,"Non-Veg Main Course","Non-Veg Main Course",350,non-veg,,5,F,,,0,,,1,0,Yes
"Mutton Masala(sagoti)","Mutton Masala",,MMS,,,,,"Non-Veg Main Course","Non-Veg Main Course",350,non-veg,,5,F,,,0,,,1,0,Yes
"Mutton Masala Fry","Mutton Masala Fry",,MMF,,,,,"Non-Veg Main Course","Non-Veg Main Course",390,non-veg,,5,F,,,0,,,1,0,Yes
"Chicken Handi","Chicken Handi",,CH,,,,,"Non-Veg Main Course","Non-Veg Main Course",0,non-veg,,5,F,,,0,,,1,0,Yes,,,,,Portion,Half,390,,0,Full,790,,0
"Chicken Handi Boneless","Chicken Handi Boneless",,CHB,,,,,"Non-Veg Main Course","Non-Veg Main Course",0,non-veg,,5,F,,,0,,,1,0,Yes,,,,,Portion,Half,400,,0,Full,765,,0
"Desi Chicken Handi","Desi Chicken Handi",,DCH,,,,,"Non-Veg Main Course","Non-Veg Main Course",0,non-veg,,5,F,,,0,,,1,0,Yes,,,,,Portion,Half,430,,0,Full,850,,0
"Mutton Handi","Mutton Handi",,MH,,,,,"Non-Veg Main Course","Non-Veg Main Course",0,non-veg,,5,F,,,0,,,1,0,Yes,,,,,Portion,Half,460,,0,Full,900,,0
"Chicken Kheema","Chicken Kheema",,CK,,,,,"Non-Veg Main Course","Non-Veg Main Course",350,non-veg,,5,F,,,0,,,1,0,Yes
"Mutton Kheema","Mutton Kheema",,MK,,,,,"Non-Veg Main Course","Non-Veg Main Course",350,non-veg,,5,F,,,0,,,1,0,Yes
"Chicken Liver Masala","Chicken Liver Masala",,"chicken liver masala",,,,,"Non-Veg Main Course","Non-Veg Main Course",260,non-veg,,5,F,,,0,,,1,0,Yes
"Mutton Liver Masala Fry","Mutton Liver Masala Fry",,MLMF,,,,,"Non-Veg Main Course","Non-Veg Main Course",390,non-veg,,5,F,,,0,,,1,0,Yes
"Prawns Masala","Prawns Masala",,PMA,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",350,non-veg,,5,F,,,0,,,1,0,Yes
"Prawns Masala Fry","Prawns Masala Fry",,PMF,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",390,non-veg,,5,F,,,0,,,1,0,Yes
"Bangda Masala","Bangda Masala",,BMA,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",250,non-veg,,5,F,,,0,,,1,0,Yes
"Shell Fish Masala","Shell Fish Masala",,SFM,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",350,non-veg,,5,F,,,0,,,1,0,Yes
"Shell Fish Masala Fry","Shell Fish Masala Fry",,SFMF,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",380,non-veg,,5,F,,,0,,,1,0,Yes
"Pomfret Masala (2 Pc)","Pomfret Masala (2 Pc)",,PMP,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",480,non-veg,,5,F,,,0,,,1,0,Yes
"Pomfret Bill Masala","Pomfret Bill Masala",,PBM,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",550,non-veg,,5,F,,,0,,,1,0,Yes
"Pomfret Jumbo Masala","Pomfret Jumbo Masala",,PJM,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",0,non-veg,,5,F,,,0,,,1,0,Yes
"Surmai Masala","Surmai Masala",,SUM,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",400,non-veg,,5,F,,,0,,,1,0,Yes
"Surmai Jumbo Masala","Surmai Jumbo Masala",,SJM,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",0,non-veg,,5,F,,,0,,,1,0,Yes
"Tarli Masala","Tarli Masala",,TAM,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",150,non-veg,,5,F,,,0,,,1,0,Yes
"Kane Masala ( Murdusa)","Kane Masala ( Murdusa)",,KMM,,,,,"Gomantak Special Fish Main Course","Gomantak Special Fish Main Course",300,non-veg,,5,F,,,0,,,1,0,Yes
