Item Name,Frequency,Total Revenue,Avg Price,Confidence,Issue Type
extra vade 1 pices,1,160.00,160.00,ESTIMATED,Other/Missing Item
sukha jawala,2,150.00,75.00,ESTIMATED,Other/Missing Item
chicken burnt garlic soup,2,136.00,68.00,ESTIMATED,Other/Missing Item
fish gravi,1,130.00,130.00,ESTIMATED,Other/Missing Item
Bombil chilly,1,130.00,130.00,ESTIMATED,Other/Missing Item
extra vada 1 pice,1,130.00,130.00,ESTIMATED,Other/Missing Item
jawla,2,121.13,60.57,ESTIMATED,Other/Missing Item
vade 2 pc,1,115.00,115.00,ESTIMATED,Other/Missing Item
CHE,1,106.67,106.67,ESTIMATED,Other/Missing Item
extra curd,1,105.00,105.00,ESTIMATED,Other/Missing Item
masala peanut,1,102.00,102.00,ESTIMATED,Other/Missing Item
fry noodas,1,100.00,100.00,ESTIMATED,Other/Missing Item
extra gee,1,90.00,90.00,ESTIMATED,Other/Missing Item
CHATNI,1,90.00,90.00,ESTIMATED,Other/Missing Item
suka jawla,1,87.75,87.75,ESTIMATED,Other/Missing Item
usahal bati,1,74.00,74.00,ESTIMATED,Other/Missing Item
bati ushal,1,74.00,74.00,ESTIMATED,Other/Missing Item
Extra,3,69.50,23.17,ESTIMATED,Other/Missing Item
mushroom koliwala,1,60.00,60.00,ESTIMATED,Other/Missing Item
etra,1,60.00,60.00,ESTIMATED,Other/Missing Item
chicken curry,1,59.50,59.50,ESTIMATED,Other/Missing Item
vad2pc,1,56.67,56.67,ESTIMATED,Other/Missing Item
fry nooldals,1,50.00,50.00,ESTIMATED,Other/Missing Item
PLEN CURD,1,50.00,50.00,ESTIMATED,Other/Missing Item
fried noole,1,50.00,50.00,ESTIMATED,Other/Missing Item
Sukha jawala,1,50.00,50.00,ESTIMATED,Other/Missing Item
EXTRA,3,29.00,9.67,ESTIMATED,Other/Missing Item
CURD,1,22.50,22.50,ESTIMATED,Other/Missing Item
chicken,1,15.00,15.00,ESTIMATED,Other/Missing Item
pomfret ghee rost,1,5.00,5.00,ESTIMATED,Other/Missing Item
chiken gravy,1,4.00,4.00,ESTIMATED,Other/Missing Item
SUKA BHAJI,1,-2.50,-2.50,ESTIMATED,Other/Missing Item
boiled chana,1,-4.33,-4.33,ESTIMATED,Other/Missing Item
sukka jawla,1,-5.00,-5.00,ESTIMATED,Other/Missing Item
pav,2,-6.66,-3.33,ESTIMATED,Other/Missing Item
bhaji vati,1,-10.00,-10.00,ESTIMATED,Other/Missing Item
palen curd,1,-10.00,-10.00,ESTIMATED,Other/Missing Item
extra butter,1,-10.00,-10.00,ESTIMATED,Other/Missing Item
CHIKAN GARIC DRY,1,-16.79,-16.79,ESTIMATED,Other/Missing Item
vade2pc,1,-20.00,-20.00,ESTIMATED,Other/Missing Item
VADE,1,-22.50,-22.50,ESTIMATED,Other/Missing Item
rice vati,1,-30.92,-30.92,ESTIMATED,Other/Missing Item
fry  noodls,1,-35.00,-35.00,ESTIMATED,Other/Missing Item
gray,1,-35.00,-35.00,ESTIMATED,Other/Missing Item
grvee,1,-40.00,-40.00,ESTIMATED,Other/Missing Item
GS,1,-50.00,-50.00,ESTIMATED,Other/Missing Item
vade 1 pice,1,-51.00,-51.00,ESTIMATED,Other/Missing Item
RAVAS JUMBO TAWA FRY,1,-85.00,-85.00,ESTIMATED,Other/Missing Item
GREEN SALD HAF,1,-85.00,-85.00,ESTIMATED,Other/Missing Item
Fry noodles,1,-107.14,-107.14,ESTIMATED,Other/Missing Item
pomfrert jumbo tawa fry,1,-120.83,-120.83,ESTIMATED,Other/Missing Item
FRY NOOLDS,1,-136.00,-136.00,ESTIMATED,Other/Missing Item
FRIED NODLES,1,-176.67,-176.67,ESTIMATED,Other/Missing Item
BUTUR,1,-191.67,-191.67,ESTIMATED,Other/Missing Item
SALAD,1,-356.25,-356.25,ESTIMATED,Other/Missing Item
salasd,1,-383.75,-383.75,ESTIMATED,Other/Missing Item
